,sentiment,content
24417,happiness,"@taylorswift13 We welcome you, Taylor ) Although it's raining :// Can't wait for your concert  x"
21117,happiness,@emjaystar haha thanks  yep definately a dream come true!  So excited the camera was shaking when i was taking a photo!
22119,happiness,well that rowing machine has paid off this week as i've lost 3lbs this week
29767,happiness,"Family guy reruns, food, and, good phone conversations  ah, saturdays."
26262,happiness,philosophy final today! thank you @sportygirlie08 it's 3 days now!!!!
36178,happiness,@celia_brads i've finished  lol
21435,happiness,@Mintyboi i can smack your head for you
37311,happiness,"Yes, I am"
27219,happiness,I always get really excited when 'Steal My Kisses' by Ben Harper comes on the ipod...great song...love the beat-boxing in the beginning
20349,happiness,because he @the_real_nash wants to be an honorary Filipino  i'll follow him now ;)) thanks @daxvelando!
38232,happiness,"@fixxatedstar Aww, thank you Soulmate! Haha."
39051,happiness,finally home  crazy party 2nite! thanks @jacksterlope 4 driving me home!
30559,happiness,@christian792 LOL we're such twitter addicts
17796,happiness,@KelseyJ_xo  hey chick u alryt u at dads tmoro we sud do sumin aen like last week we neva dun oot this week lol  missed you ha bye hun xxx
30810,happiness,@capemaybooks alright don't want you to overdue it now. LOL you are funny  nite nite
39229,happiness,try to play John Travolta's &quot;Grease Lightning&quot; bassline.. it's cool
26588,happiness,"Its raining cats and dogs here, in Mysore! Thankfully, no pigs/swines!"
27665,happiness,@mmurray Hearing that my songs brighten someone's day always makes ME grin.
25426,happiness,Yes... today is Star Wars Day!    May the 4th be with you!
5912,happiness,"@LizzieCoulter oh dear. (I'm sorry, but i laughed  )"
38838,happiness,@snarkattack kicking it incredibly old-schoolï¿½ I whole-heartedly approved
14018,happiness,@yelyahwilliams  but i love your haaaaair!
28992,happiness,You can't take this feeling away from me&lt;3. going to lay down &amp; watch a movie.
24509,happiness,I had fun this summer
34090,happiness,My Sissy and I went to a Bridal Shower tonight; crazy women!!
6036,happiness,@tiyephoenix I have to DJ 2 gigs on 6/20. no bk hh fest for me  so please keep me posted on live dates
39949,happiness,@dai_bach daps were the best lol
24694,happiness,Today is going to be a good day!! On my way to work spending time with Jesus
11403,happiness,Rain Rain Rain go away come back next week when I'm gone (via @GigglingMarlin) raining lie crazy in the Keys
37819,happiness,"still working on my mom's mothers day gift....shh, its a slideshow"
38330,happiness,"Off to the Dream World to battle the evil Spork Horde.  Later, folks."
5827,happiness,"Wicked, my DVB-S tuner card has arrived. Although not sure I'll be able to get it all set up ready for the FA Cup final tomorrow"
2159,happiness,@pyroezra i know!  i wish she would. I just wanna cuddle and sleeep in ga! And go to the world of coke
29912,happiness,@Deejai Nice to meet you toooo  Good to know another one of my followers ACTUALLY speak!
22469,happiness,seriously. increasingly good nights. stoked on life! couldn't be happier  #goodnight
20888,happiness,"@pandalion WOW! Totally awesome! Action Guinea Pigs! Want to go and see it now, NOW! Do you think we'd be allowed to take Lance?"
26532,happiness,were you born in a barn? would you like some hay? 8-)(8) youtube the mother song
34184,happiness,Gonna give a guest lecture tomorrow @ PES Mandya on OpenGL
39966,happiness,the sunset view is SO beautiful from my room!
25119,happiness,first compree over .. completed the exam in 2 hrs instead of the alloted 3
33992,happiness,"@Therealseeon Birthday Sex is a great song, man.  Something different about it!  That's what ppl want!"
32074,happiness,"Goodnight  PS- thanks for jailbreaking my iPod, stacie &lt;3"
20850,happiness,@shakedxit23 I'll save you
28535,happiness,Well it would seem that you can enter nine 0s if you are an Individual without a SSN/ITIN or EIN according to Apple.  Hurray!
21687,happiness,"study all day.  just finished my care plan.  hungry as hell!  ima go treat myself with a burrito, for a good days work"
30740,happiness,"@RussellMoyer olawd go see it, its priceless  soooo funny"
39740,happiness,"Yay, I should be able to make it to 700 updates tonight  lame compared to other ppls i know lol"
27867,happiness,@AndreasHale yeah !!
30312,happiness,loven the rs ftw pvp is bac
24533,happiness,@mombloggersclub Good morning
35393,happiness,"tried oprahs free unfried kfc and loved it  i went back for another try and topped it with boba and wolverine.Chilled with pope,dave,ben"
25848,happiness,@Wossy - Jonathan can  you get Priscilla Ahn or Raphael Saadiq on your show - they were fab on the Jools Holland show
24912,happiness,rather excited about my hospital placement starting on monday. I get to give needles and take blood
28169,happiness,@apizzle86: thanks!  and you being #80 just made my morning!
27431,happiness,@VengeanceChrist hey girl i just sent ya a message on Myspace
33007,happiness,I love my Boogah! Can anyone contain Lebron James?  Talk about so sick
31288,happiness,Feet hurt...finally in bed...will not forget this crunch when it's over...very very productive day today though
3326,happiness,good morning! off to the gym I go
23828,happiness,Digging the ideas behind railsbridge (http://railsbridge.org/)
25206,happiness,"@msstacy13 Well, thanks for thinking of me! And if you ever do get the scratch for one, well, I'm right here!"
38572,happiness,"@hypnophil  it's looking bright, so I think the sun will put in an appearance, and then guess what - lawn wants cutting !!"
25259,happiness,@leifreak8 Hi Miss.  Isabelle here. :]
32816,happiness,happy happy joy joy    is that good enough for you
30350,happiness,Goood Moring
22141,happiness,@khanserai Thank you  and hope you are having a great day
20612,happiness,@barbsaka I love finding regional groups of Twitterers! Glad I could connect you with a few new people
25995,happiness,@DonnieWahlberg In Toronto  waiting for YOU!!! 48 days to go!
37742,happiness,Mornin world! Hmmm... I was supposed to be up early. Oh well!
37496,happiness,Good morning everyone  It's a nice day #iloveitwhen the sun is shining. And now I'm going to write some stuff
23483,happiness,I'm currently enjoying NOT being at work this bank holiday  Frasier and Jeremy Kyle so far. Enjoy the extra day off Tweeters!
20492,happiness,@EMarketingGuru Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy
20801,happiness,@crazytwism haha.. good for you
25389,happiness,@powerseller thanks
33946,happiness,@ChEmIcALbUlLeTs thats sweet
31932,happiness,@4everBrandy nice capture
35965,happiness,sittin by the fire...yes!
15023,happiness,"Latest: Saw Animal Collective in Oakland and they were AMAZING! Now, I am trying to clean my room"
35121,happiness,Bored...um...Song of the day: &quot;I caught myself by Paramore&quot; and &quot;No good deed from the musical Wicked&quot;  Oh! And Fully Alive by Flyleaf!!!
23288,happiness,"Namaste! Hooray for Monday! Undaunted by a 3am wakeup, I consider it is 9am in London and feel justified. Bright side to everything!"
31487,happiness,OMG... Folding my laundry and matched ALL socks to its perfect pair!  Good laundry folding day it is
11811,happiness,i love the dreambears!.. i want a gay best friend!
26658,happiness,@shanedawson haha yay We love you too Mr. Shane Dawson
22157,happiness,@sammythewizzy Oki! Great. All the best!
34538,happiness,I am now Vice President of Social and Cultural Affairs at Southwestern College
7476,happiness,"Outside for just about 1 hour, the sun was bloody hot - no tan  Wait for monday then will spend around 2 hours outside ;)"
24092,happiness,@OceanCity thank you.  we had a blast
25956,happiness,Looks like I got a new job
26280,happiness,"@David_N_Wilson C'mon, I like the superpower explanation better! LOL"
12532,happiness,looking at this website!! should be working!!
20291,happiness,is choosing to do britney for the dance showcase! yesss  cant wait. 58 days....
34981,happiness,likes the smell of the roast in the oven mmmmmm must have dips and sakatas to tide me over till the roast is cooked
578,happiness,Getting ready for school - second maths test today  also its my last day of 3rd year!! Next week i will officially be in 4th year
26080,happiness,Watching loudQUIETloud documentary about the ever awesome Pixies. Realised Joey Santiago and David Lovering are Twitterers. Fantastic
31396,happiness,Jumping im the shower after a long day of work  it shall feel ahmazing I CAN MATH!
16405,happiness,Headed to see friends new baby. Gave up trip to the lake cause of dance class. Such a good mama.
12420,happiness,FRIDAY so freakin happy today was an annoying day  buuut WEEKEND! TGIF&lt;3
32284,happiness,Went to friend's house to watch some good old season 1 episodes of Supernatural &lt;3 Damn I love this show soo fucking much
31603,happiness,@katevoegele that was an amazing concert!!! got some really good video and pictures
30448,happiness,@opinionatedant Have a great weekend Mononoke  I may be tweeting from inside the movie theater either Monday or Tuesday  lol
22901,happiness,@bobbiehouston haha that photo is too funny! I hope he wasn't disturbed by passengers too much during the flight
12778,happiness,"@thatdamnninja Oh, okay. Every so often I get this random taste of blood in my mouth that makes me go &quot;eww, blood&quot;.  Haha."
31221,happiness,"i need to see @betsycon7...now! someone buy me a plane ticket, please?"
39372,happiness,hi @blowmefool thanks for the follow  good luck with your friend? ha
4318,happiness,Hopped up out the bed put my swwwaaaaggg oooonnnn! Then got back in the bed it's raining
32734,happiness,happy mother's day!
28056,happiness,@jkarney  #amtarot Thank you so much!
33764,happiness,made $30 tonight watching 2 little kids swim and watch a movie!!! haha i love babysitting haha
3545,happiness,"Morning world, the sun seems to have gone away, maybe to Majorca or some other popular tourist spot. Hope it comes back soon"
6589,happiness,@KirstynSmith I spent 3 hours sitting out in the sun - picnic lunch + ice cream = win. We should have had a BBQ today
35464,happiness,"D-group Saturday's, with a little bit of football, an hour nap, 3 hours of soccer, basketball in the TSU and Yogurtland... Life's Good"
39733,happiness,"@AbbeyEmm Haha. If you like him, then you should go"
31500,happiness,THE CURIOUS CASE OF BENJAMIN BUTTON!!!!! I'm so excited about this fucking movie
31405,happiness,OMJ! The 3rd episode of Jonas is too great! They are so funny. I wish I was the Pizza Girll. Lol &lt;3
29617,happiness,seeing Star Trek tonight! Super stoked.
33700,happiness,"@SellPuts agreed  it did take me a little while to find my way on stocktwits, but once I did, I cant imagine working w/o it"
30154,happiness,@sparrowstudio They turned out great! And I had a killer workout before-hand so no guilt
32286,happiness,"@Gilamuffin Sounds like a good time, very nice of you.  Did you see him, when he played at the Rio or Aladdin? I've seen him live, 3 times"
31218,happiness,Going for a ride! Perfect night to go out and chill
7040,happiness,"Oh noesss seniors last day  However, tickling will till he was on the floor giggling made it totally worth it. Plus, a senior sandwhich!"
21674,happiness,@simonrim off to the cheese counter I go! Thanks
29761,happiness,Had a good day selling at Feria Urbana. The ladies love them some laser-cut felt.
26626,happiness,@archiedineros Yup I stayed until the very very end  Exciting!
22766,happiness,I am now following @TherealWill - One of my favourite actors!
38917,happiness,@BrookeAmanda YEP  it'll be awesome to the max =] haha
33814,happiness,"says 2 1/2 hours to go, uwian na. . .  [phplurk.com] http://plurk.com/p/sun82"
28480,happiness,@DuongSheahan so nice to meet you too! @NancyLoo is the best for bringing me along
31972,happiness,@JessicaCorban stellar! You 2 look great
36140,happiness,"@trippingtracy if there's a pow wow in the chicago area, definitely check it out, they're so fun! Happy Mother's Day"
39637,happiness,"just finished some Sunday cleaning, waiting to read the next chapter of Kiyosaki's book so i can hire a cleaner"
34858,happiness,family bbq today &amp; my fave cousin comes too
3954,happiness,@TheMandyMoore good morning sunshine. sleepytown is sleepy.
18338,happiness,@doodleworld  Thx had a great day &amp; gonna have a long weekend.  Excited yet I'll be missin my tweeple badly.
32014,happiness,Haha. Lacey just shutdown the livestream. Party time
32186,happiness,Art show at dee's place!! Woohoooo.
21055,happiness,"@khanserai I know how you feel!On the bright side, you're moving to a place where it would be appreciated!  Onwards and upwads!"
24861,happiness,home from work  good night with epic dudes and dudettes
32789,happiness,"@beccamorte Oooh, neat!  Yes, SF has such good food.  Again, so jealous of all you SF people."
37261,happiness,Just finished filming for the day  another fun day on the set! Hahaha!
6802,happiness,@kelseyrose56 I WISH YOU WERE GOING TOO!  are you still coming to nicoles preprom? @nicolesx319 Can't wait for preprom!!!!
29741,happiness,Just downloaded twitterberry. My life is now even MORE convenient.
39913,happiness,happy mother's day!
30434,happiness,Watching Sex &amp; The City at my brothers soccer game. I have totally defited the purpose of coming.. Hehe
24913,happiness,@LiannaKnight: We can't wait to see you!   This week can not go fast enough!
39814,happiness,@timlichfield alreet chap! Have an awesome time! N congrats on it recent results!
31726,happiness,just watched yes man. bahaha. that movie is messed up
38914,happiness,hope schools gonna be good tomorrow
9718,happiness,just got home from a long day at asda. joy
23914,happiness,unpacking my new toy arrived in the studio right now  it's called TC Finalizer. can't wait to check how it sounds !!!
34767,happiness,Ah wokking was great. You could eat as much ice cream as you what. I never eat so much ice cream in my life...
35079,happiness,"Well, it was very inspirative day. There's no room for design in todays schedule, so i'm heading to bed"
33364,happiness,JUST GOT TO LA  MISS HAWAII ALREADY! DANG
29821,happiness,@destroytoday hahah I'll try
22041,happiness,@rafikakikukeko of couuuurse fika  i'll pray thes best for you then.
38889,happiness,@11hunabku11 Swine Flu victims unite  http://oinkflu.info
3072,happiness,"@realchrissystar we'll be back sunday to play @ the horse, I was out last night at mex you were not  miss you"
26394,happiness,"@rozarin whaa?  you really should.  2 and 3 are definitely optional, though.  I liked them, but I'm also crazy."
33668,happiness,"@mdjensen I'm a little late but congratulations on your 1st tri, it's a great accomplishment...good night"
32130,happiness,"@MichaelNi Ooh, I love sweet potato fries! We should definitely go."
21628,happiness,Happy Star Wars Day  May the fourth be with you!
39630,happiness,@MizFitOnline @lance02 Morning!  Happy Mother's Day Miz!!!  Thank you Lance!!!!
34697,happiness,@natalietran I did really like that http://tinyurl.com/c63mhr reminds  a little of my favor hfw
38361,happiness,FacePanda is cool
31468,happiness,"@cowpunkmom Sweet deal! I so want to see that movie! Methinks we may have to do a Star Trek movie night some time, hmm?"
30584,happiness,@glossymom yeah i am getting to that point. Need a new phone anyway so its gonna happen real soon!!
34442,happiness,@xjam13x LOL. Wow. That's good.  Haha I still can't believe it's mother's day.
23048,happiness,Apparently it's #starwarsday
34497,happiness,"playing guitar hero, waiting for Abby to text me after prom"
37917,happiness,"I love waking up and thinking it's a weekday, but then realizing it's the weekend."
1261,happiness,I miss the concert Tuesday already. I'd really like a time machine to go see it again... It was so fun...
27646,happiness,@annabranch You just let me know how that goes.
4091,happiness,Just woke up! Annnnd have just realised I missed un uber sunny day...score
27956,happiness,@ileanedover HEYHEYHEYY happy star wars day   watcha doin this friday? up for a movie?
32171,happiness,Thanks Synn!
33192,happiness,@SouthPhilly_Mel thanks that was nice of u and I appreciate u
4645,happiness,"Off to work. My last day. Get to walk around and out-process. I am very happy to be one step closer to what I really want to do, but  2."
22914,happiness,a sunny day brights up the day!
37108,happiness,"@VeritasUnae Ahh that's fun  I had work last night, a party after, went to the movies today to see Wolverine. Was a good weekend"
18342,happiness,hm i'm happy but i want to join drama practice today !
21191,happiness,is having a cuppa and chilling... i lovebank holiday mondays
39566,happiness,"So, I finally got my but on Twitter. Let's hope I make good use of this site"
37480,happiness,@Thea_Smith glad the zoo was fun and you had a great mothers day hun
21078,happiness,Awaiting to watch lfctv @ 10am  liverpool vs newcastle game from yesterday!
13527,happiness,Just got done working out....relaxing than off to work
19071,happiness,it's too beautiful to stay inside
22894,happiness,@megfrancesca really was the best night ever
33877,happiness,"Yay, St. Mary's here I come"
9162,happiness,1 week and 1 one day to go.
31376,happiness,is obsessing over chris pine  heehee...
36831,happiness,"@djcmc carls jr sounds hella good, you should bring me some  http://myloc.me/G3o"
20154,happiness,"@algibbs thanks for that, now i learned something new today  enjoy."
23028,happiness,"I am back from my weekend getaway! Energized for another week, bring it on! lol"
25719,happiness,its gonna be a beautiful day!
37497,happiness,@bradiewebbstack every time you write a tweet the always make me smile  just had to let you no
30301,happiness,Finally going to bed! Woo-Hoo! Gotta work at 5am! Lots of love to all!
19764,happiness,tomorrow valeria's lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it
26311,happiness,"@kristyknox Sounds like fun... I think?! LOL! I naughty, should be ironing and watching NK porn on youtube instead! LMAO!"
33767,happiness,"@tabithalynnne lmao, yep"
31885,happiness,@Jgurl804 thanks!!!
23451,happiness,"????? ?? ??? ????????, ????? ?? ??? ???????, ??? ??? ?? ?????? ??? ??, ???? ??? ?? ???????... The magic of Rafi singing for Shammi Kapoor"
28675,happiness,"just finished watching &quot;Role Models&quot; (hilarious), and debating whether to go to 251. Hmmm..."
17394,happiness,either my inerne is fucked or my mind is but i'm pretty sure that it's the internet
24339,happiness,@miraaaaa hahaha. you should eat then!
29164,happiness,heading to Kitsilano for a BBQ  this weather is b.e.a... UTIFUL!! x
35724,happiness,@JackieShimamoto i love cobra starship!!  thanks for the suggestion!
30914,happiness,Thanks to @ksatnews and @doublepunching for the updates on tonight votes.
34610,happiness,@officialTila Thanks for the interview mama!  Enjoy your night
21303,happiness,"Hah! I saw the Wolverine last night!!! Now I can die happy, well not yet though, got a few things to get done first, but was my MoY"
10139,happiness,I'm at the cubs game and it is so cold. I think its going to rain.
20143,happiness,@mskiannathediva  He's awesome... Have you worked with him before? He's a good friend.
35759,happiness,@vieriu I am blessed beyond measure
25273,happiness,thankful for the rain for our garden! The kids and I are starting on our gardening lapbook (thanks Heidi  http://www.lapbooklessons.com/
30565,happiness,On my macbook  Inviting Friend to Twitter  and Happy Mothers Day
32895,happiness,"o/*\o (high five) to all of our fans! It's finally here! I'll write up a fancy news post shortly, wanted to get the mod itself out ASAP"
26791,happiness,@Kelly_StrayCat   haha ty
233,happiness,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs."
32933,happiness,Thank you guts for 360 followers! It means a lot!
32465,happiness,I had so much fun tonight!! But i am soo excited to get home and go to sleep
36764,happiness,Wow! That's what I say about star trek.  very cool.
23792,happiness,@donnyeffrien good to know PLN's Earthday doesn't only happen in my neck of the woods
19322,happiness,"So much happier, despite my looming departure"
8968,happiness,@sheszladii  LOL! Girl that video disturbed me  and I love the hk theme too cute!
34197,happiness,Excited for enfest yaaaay
6199,happiness,@Sak_Pase I guess u ain like me den.. My hair cut short..  lol
37471,happiness,"@angryfaggot, Whered you end up going? I stayed in &amp; watched SNL, one of the funnier shows theyve done this season."
33203,happiness,"@NightShade10 Wooops! Meant I agree with Boomstone..trying 2 reply 2 both, LOL. Happy Mothers Day to you as well!  TTY soon!"
26343,happiness,"@butterflydi i'll be back on it later today, got plenty of gold, but willing to help you out, if you need anything at all"
20315,happiness,@PeopleBrowsr nice new profile picture! Glad to see some friends in there
20915,happiness,@xMyrthe you writing fanfic? me read!
33779,happiness,Is FINALLY having dinner... At Nishiki Sushi!
20030,happiness,Welcome @doeko ! Really glad to know you here. Your products rox man
26596,happiness,@azmomofmanyhats @rocknrod @gailelaine @sarahstanley  Good morning to you !  Its so pretty outside today
30072,happiness,@GericaQuinn Yay  I Feel Loved  By You And My 113 Creepy Followers.
39628,happiness,"just got back from footy, thankgod eagles won"
24837,happiness,@camillecakes I was nice!! I called you  lmao
22574,happiness,@Zobi09 The cast of True Blood was there
24190,happiness,My wish came true!  see u
5486,happiness,Chatted with my old schoolmates. Awww  I miss my Highschool.
33983,happiness,taking mum to lunch for mothers day
22415,happiness,A very exciting week
38285,happiness,On our way to take photos at the park
20080,happiness,New @shackletonmusic single bought! It is awesome!! Well done boys!
26634,happiness,"@RizzoTees LOL, point at yourself and laugh!"
20333,happiness,but omg mummy bought me ice-cream!
38302,happiness,@bluevolvic  awesome   I'll have to keep a look out for it!
36911,happiness,@TheRealIngrosso is nto milk deffo!
39123,happiness,@davidleibrandt good to know you had fun
37855,happiness,@xoJennyPennyxo I like too  how are you?
11826,happiness,wants to go to walmart. but won't go alone
21638,happiness,@bellothika  The flowers grow!!
37134,happiness,Happy Christmas! No wait... What is it again happy M...........easels day. No but seriously.... Happy Mothers day...  lmao
29533,happiness,@meredithhawkins Aww nice
24531,happiness,"Chillin with the rents, and looking at hilarious old photos. Well funny!"
37606,happiness,I think im becoming obsessed with MGMT- kids  &lt;3
24294,happiness,@ingegoesbroadwa sounds like you're having a great time
24767,happiness,"@tessneale i suppose this will be in the blog post, but could u email me who was there too"
24267,happiness,"Oh, and now Mondays also mean new American Dad!  So glad I watched that show, so funny, and it makes Mondays even better"
32809,happiness,Happy Mother's Day.. To All The MommiiEs Owt Theaa... &amp; ii Think ii Got Thaa Hang Of ThiiS ThiiNg.. Yay!!!
25003,happiness,@JimHunt That smile - the one in your avatar - is that a permanent condition?
8711,happiness,"@NeilDavidson happened about three weeks ago. Why, is there a serial card fraudster on the loose?"
20567,happiness,"it's a perfect day to throw back your head and kiss it all good bye - love it, so cheerful!!  ? http://blip.fm/~5jckp"
34641,happiness,@JJRogue I have an interview on tuesday so things are turning around I think!! yay! so dont worry!  And Japsicans are a rare breed. ;)
39839,happiness,Celebrating mother's day with apple pie
21895,happiness,Down in Wellington for the Monet Exhibition. Casually just bumped into Wayne Brady in our hotel lobby!!  Mega exciting!!!
33042,happiness,LOL OMG @MissKeriBaby replied back to me out of all ppl!! THX
33647,happiness,Just got home from Stacey's lovely wedding
35585,happiness,"It turns out I'm really, like, sixty years old, guys. You were right!!!!!  I'm off to seek my future a little later than planned!"
33242,happiness,hey chelsee its amiera!   &lt;ufc&gt;
15488,happiness,"I wonder who that thomasvanvliet is. Maybe you can help me, because I've just inherited $20000000! Can't withdraw it"
35436,happiness,"for some strange reason, 'paranoid' sounds like U2. but i love them too, so it's aaaaall good."
36989,happiness,@jeninamaree has just voted for you. hope you win!
6351,happiness,Back in Manchester. Whats with the weather? Sweaty
34084,happiness,@kmore Yeahhh... thx. I figured it out
23216,happiness,"@MiaMiaDC Good morning MiaMiaDC  My weekend was great and I just had my Monday, which was also great  I hope you have a wonderful day!"
