,sentiment,content
12691,relief,i wanna vote for Miley Cyrus for the mtv movie awards..but i don't know where i could  somebody could send me a link? thaank you &lt;3
29475,relief,"@ddlovato Glad u r back Demi! You're such a talented, authentic and amazing girl. Keep doing what you love, you're making it brilliant"
35427,relief,"PB&amp;J makes me happier than anything else in the world  I love that when I'm tired, my demands are so simply met"
29937,relief,"@MICHALL_BODUCH Awww, you will get more friends on facebook. Just be yourself and people will add you"
22449,relief,Afternoon from office  My cubicle has been moved but not the system yippie! Mine is one of te few surviving &quot;good&quot; system..
29049,relief,"@HeatherHAL Thanks Heather, glad you like the dish"
30465,relief,@sayitwithecards Thanks for the #followfriday!
19710,relief,Mosque and mini-golf! haha I tied for 1st. It looks like the Yankees aren't playing tonight   but I'll just play Fifa! ~Zade~
33395,relief,Looks like i can go see jeffree star afterall. I told my dad he'd hate the music &amp; he said i could go alone
35235,relief,"@guittaraxx Trust me, that's a GOOD thing. Your 40-something self will thank you."
13620,relief,"poor me, JUST going to nap"
22841,relief,"Finally in my bed, &amp; I must say, I had quite an evening. I'm ready to tackle this work week &amp; see what next weekend has in store for me"
5838,relief,My son had surgery yesterday so mommy and son time won't be as long today
3270,relief,"Working on a newsletter but I'd say I've got a writer's block atm  - take a deep breath and get on with it, girl..."
26881,relief,@petethevet Thanks!
35429,relief,@bethharperwalsh @TaiLi22 @thesolutions @hippiekat from g's to gents season 1
35155,relief,Laying in bed with a book &amp; some beautiful music.  thank you kaki &amp; nicholas sparks.
37408,relief,http://snipurl.com/hq0n1 Just printed my mom an Amazon gift card  for Happy Mothers Day talk about last minute.
37360,relief,@boelzebub automated porn-downloader would have to know which porn you like. youporn has this new recommendation feature
33914,relief,".... you are my sunshine, my only sunshine...."
32837,relief,@Jesse_Attack thanks dude!
34871,relief,@krystynchong Hello Krystyn  have a great Mother's Day celebrations
21406,relief,It's fun
1141,relief,@DHughesy ME! I wanted to go.
27157,relief,"listening to dave barnes, getting really excited for junior senior"
21493,relief,"@petabridges I do my humble best  Going on a works paintball day soon so that should fuel a few strips, no doubt"
21434,relief,Its relaxing time..a movie and some treats
1622,relief,"Bout 2 lay iit down, got a head ache   @niariley we hangin tomorrow idont care wat u say lol..soooo dm me ur # &amp; imma hit u tomorrow k ;)"
10440,relief,bored out of my mind. I guess im paying the price for having so much fun yesterday.
16156,relief,also finally home with no friends or anyone.. kinda nice to sit in a quiet room.. do wish the gf was here tho...
24067,relief,Alhamdulillah PFP exam was alright~ It's Strategic Management time!
3162,relief,@joehhzeh in august with anberlin. they're not headlining though  and yes there is a perth show
1132,relief,@kimberlymdg I had fun tonight! I'll leave you with this...Brandi Carlile will be in Dallas today.  We should just sneak into the show!
27825,relief,@LukePersonified Yay.  I knew you'd like them if I shut up about them
29809,relief,@SherriEShepherd hey Sherri -- don't give up b/c they're married; they may have a brother or a friend!
24850,relief,"STRESSED AS HELL (, but still surviving"
13583,relief,@Molltini ok. lol. i miss you too. i hope your cramps get better. i know how painful they can be.
39959,relief,Gooood party last night (: Although I am extremely tired now. xD Off to bed to lounge around watch tv and sleep all day
25465,relief,good evening. enjoying vacation eventhough it is boring.  pray for david cook's brother. rip.
20116,relief,@brittannyy14 yea i know right! i love that song!
20088,relief,finally gone!!!
20908,relief,Finally sleep time
24350,relief,"@iaindodsworth Ha, yea you are so not allowed days of rest, way too many interesting ideas to incorporate into tweetdeck"
28792,relief,Eatin nachos watchin the game.!  all i gOtta say is LebrOn is a Beast. ! dO anybOdy feel me.?
39691,relief,"just woke up still in bed  sundays r the shit, its the do nothing day of the week"
1936,relief,Ahh feels good to have played guitar hero after months! I suck at it now but  haha
11902,relief,yay doctors  now interview then back 2 the doctor's for blood work
21650,relief,@nnaa the rain was pretty nice. I only have 150 meters of cobbles on my way here
12216,relief,@Rachael_Hodges Yup. Their loss.
36303,relief,@calikara22 @darthamandar @trippplesweet grats to aaron and christine
24911,relief,@parisandparadox don't worry  just sleep.
26673,relief,eating maccies
34419,relief,"@wstmjonathan cool, so if you could help make that happen, &amp; make sure it happens at least once in houston, that'd be great. k? thanks."
33010,relief,"just got out of prom, it was fun  off too after prom text me"
5665,relief,Had a blood test today.   Wasn't too bad really. Needed to dash 2 Starbucks after to revive my spirits with a nice Iced latte &amp; a bun.Yum!
32065,relief,Swiped the last package of fruit snacks! Hell yeah. Finished Catch-22. What shall I read next?!? I'm such a nerd
12120,relief,as of this point I am done. I am not going to waste my time re downloading all my music. I lost 5k songs
38277,relief,I feel better today.
20793,relief,@prayagn I think we have it pretty much figured out. @adawada added a box in the Helsinki group where you can see the tweets
33525,relief,Aim:iloveshawniedur
20318,relief,@shaundiviney THATS BETTER! lol
16537,relief,is  wishing work was done soon  &lt;3
14528,relief,"Have to wait till Friday to pick up my Visa for China- not as expedited as I would have hoped, but at it's done   #geeksonaplane"
12177,relief,Slowly getting ready for work
24557,relief,@hopefulauthor Thank you!
2006,relief,"Oopsie, the origami box I just made looks like a strawberry! should I be allowed to teach?"
30447,relief,It's good to be home
5965,relief,Managed to finally get through to someone who had left a message earlier today. Old dog already put to sleep
35447,relief,@glennguan your test works fine for me  tweetdeck is so cool eh?
28116,relief,@LilzCREATiONS thanx for showin luv
32096,relief,My dad knows i got drunk today. And i didnt get in trouble.
18565,relief,Standing ovation for Wieters. Nobody was sitting down. Insane. Hit into double play though
4614,relief,Chirstina said shes gunna twitter more ...no more partners
33919,relief,"Sportsmens Warehouse finally got field points in, i can now use all my arrows."
37919,relief,New toys.
22363,relief,I'm going to open up PROVERBS and get as much wisdom as possible-I'm hungry!
13976,relief,Bouta donate blood! Ahhhhh!
7093,relief,Went to get my car inspection sticker got gigantic red R one. Just keep piling it on. I can take it. Don't worry about me. I'll be ok.
39466,relief,Today I'm working on my &quot;Quirky Q&quot; cue or maybe it will become a concerto
31655,relief,@arinbjorn Thank you for sharing. I appreciate your honesty  I hadn't tweeted for 30 some odd hours and got a little tweet happy.
22968,relief,"didn't twitter much yesterday.apologizes for not responding,goodnight"
1891,relief,is finally gotten online after logging 200km over the last two days on errands as the family driver  http://plurk.com/p/wxz12
27808,relief,"Sleeping sounds too good, goodnight my babies, cuddlez for everyone"
25889,relief,"@dfelteau then how come I'm not uber successful?  I'm not making the same mistakes, I'm making entirely new ones!"
35252,relief,it's midnight.
34586,relief,@moonfrye i would think ANYTHING that the kids had a hand in helping with would be EXTRA special!
36490,relief,@natzini 16lbs is still a huge achievement though
25526,relief,"@nsmithmorgan thanks for viewing my portfolio www.wahliao.com  I'll be updating it sometimes, will keep u updated."
14783,relief,Cough drops taste gross...blaaaqhhh
24663,relief,@itschristablack I am so stoked on seeing you with the Jonas Brothers
21272,relief,@AmyatQ13 Amy did u already check out the antics of Parella and Marcia? @ParellaLewis @madnewschick news... and entertainment on Twitter
25610,relief,@LorenaHeletea Thanks for the well wishes and hope ur day is also quite successful
36320,relief,@RetroRewind You're a good friend Dave.. we can wait!! Hope we dont have to wait too long though
26760,relief,"It's weird waking up in my own bed. Slightly comforting, but i miss the group. But i'm loving using my own pillow again!"
1462,relief,shattered! PWG botched his hybrid dolphin shirt order and sent him xl
26735,relief,Office til around 6 today. Good day yesterday...I have a BSc now
27873,relief,I am parked in FS yet no ticket.
10355,relief,never mind it's closed  sorry Miley
28495,relief,is done with classes for her freshman year.
8533,relief,"Note to self: Omelets are better when made with butter, not olive oil.  Also, @laurendanyelle doesn't like my cooking *spits in a napkin*"
38345,relief,Now I KNOW my shares are up...have 7 followers...wonderful!   The sun is now shining brightly in 'darkest Africa'...
25442,relief,"haha moms back today from a weekend away , her first words, ' whys the house so dirty?' i love life .."
38472,relief,"enjoying the sun with daddy, learning for englisch exam, watching gilmore girls"
24170,relief,@MattCohenIII it could be worse  so u usually a nite owl?
23888,relief,is working.   I am so happy my job is a radio and not anything physically exhausting....
24268,relief,@AndyACB yes not for putting inside anything else
33071,relief,"P9 for Danica and your team... Not a end of the world, now is just hopes for a great race"
35042,relief,45 minutes until im off from work. I guess i'll go back to work in 15 minutes. It's slow today thank god for one of those days
9870,relief,Allies not coming over
29595,relief,I know exactly where i should be
7735,relief,i ran out of facebook quizzes. lol grocery shopping then work. w00t?
23527,relief,"ha, the first request for sending a paper copy of my thesis"
35041,relief,laundry and loud music.... relaxing
21252,relief,"@squeakmouse73 praying to be humble is always dangerous, He will answer you  (God gives grace ...)"
26541,relief,Was watching @timminchin downstairs  Now getting ready for bed. Piano in the morning.
20056,relief,Thank god camera fixed itself. I want a new ipod
5232,relief,Finally it's Friday! Things are going to be so different starting next week...my house will be empty!
20458,relief,@roynuj thank you  Feel much more relaxed now that everything isn't as scary as in the beginning
33397,relief,twittering after 2 days!
17478,relief,"Oh.  The voting is over!   But don't worry, I already voted for you about 100000000000000000000000000000000000 times earlier!!!!!!  &lt;3"
15199,relief,"Just got done with my first day of work and is exsausted, sweaty, and chalky."
